identifier,lines
"Minutes of the Monetary Policy Committee Meeting February 5-7, 2019",pressure on headline inflation would require commensurate policy rate action over the next 12
"Minutes of the Monetary Policy Committee Meeting February 5-7, 2019",months.
"Minutes of the Monetary Policy Committee Meeting February 5-7, 2019","68.     In other words, the assumption of particularly benign food inflation in the short run"
"Minutes of the Monetary Policy Committee Meeting February 5-7, 2019","imparts significant upside risk to the inflation trajectory, at the short- and/or medium-term"
"Minutes of the Monetary Policy Committee Meeting February 5-7, 2019","horizons, from the fiscal adjustments that would be necessary to address resulting agrarian"
"Minutes of the Monetary Policy Committee Meeting February 5-7, 2019",distress and to boost rural demand.
"Minutes of the Monetary Policy Committee Meeting February 5-7, 2019","69.    Fourth, while inflation expectations have moved downward in the most recent survey,"
"Minutes of the Monetary Policy Committee Meeting February 5-7, 2019","when compared to the December 2017 survey, they remain higher at 3-month horizon. In other"
"Minutes of the Monetary Policy Committee Meeting February 5-7, 2019","words, anchoring of inflation expectations of households is still an ongoing process and it is"
"Minutes of the Monetary Policy Committee Meeting February 5-7, 2019",somewhat early to assume its sustenance going forward based on the most recent adjustment.
"Minutes of the Monetary Policy Committee Meeting February 5-7, 2019","70.     On balance, I remain concerned about (i) the elevated level of inflation excluding food"
"Minutes of the Monetary Policy Committee Meeting February 5-7, 2019",and fuel; (ii) upward risks that could emanate from oil prices and fiscal implications of sustained
"Minutes of the Monetary Policy Committee Meeting February 5-7, 2019","food deflation; and, (iii) lack of adequate and sustained downward adjustment in household"
"Minutes of the Monetary Policy Committee Meeting February 5-7, 2019",inflation expectations over the past 12 months.
"Minutes of the Monetary Policy Committee Meeting February 5-7, 2019","71.     Turning to growth, concerns around global growth, especially in major advanced"
"Minutes of the Monetary Policy Committee Meeting February 5-7, 2019","economies and emerging markets embroiled in tariff wars, have gathered momentum. In"
"Minutes of the Monetary Policy Committee Meeting February 5-7, 2019","response, several central banks have decided to be patient with their rate hike plans and/or have"
"Minutes of the Monetary Policy Committee Meeting February 5-7, 2019",revised growth projections downwards. My assessment is that unless these concerns turn into
"Minutes of the Monetary Policy Committee Meeting February 5-7, 2019","recessionary risks, they could in fact be positive for the Indian economy as a reduction in"
"Minutes of the Monetary Policy Committee Meeting February 5-7, 2019",aggregate global demand keeps Brent crude oil prices under check.
"Minutes of the Monetary Policy Committee Meeting February 5-7, 2019",13
"Minutes of the Monetary Policy Committee Meeting February 5-7, 2019",72.     Domestic indicators for economic activity are overall mixed. Overall corporate
"Minutes of the Monetary Policy Committee Meeting February 5-7, 2019",performance in Q3 of 2018-19 was stable; capacity utilisation – absolute or seasonally-adjusted –
"Minutes of the Monetary Policy Committee Meeting February 5-7, 2019",has remained robust and close to or above 75 for past two quarters; PMI manufacturing and
"Minutes of the Monetary Policy Committee Meeting February 5-7, 2019",services continue to remain in expansion mode at healthy levels; and consumer sentiment
"Minutes of the Monetary Policy Committee Meeting February 5-7, 2019",surveyed by the RBI has improved. The primary weak coincident economic indicators have
"Minutes of the Monetary Policy Committee Meeting February 5-7, 2019",been auto sales and production. Our internal research suggests that this weakness reflects in part
"Minutes of the Monetary Policy Committee Meeting February 5-7, 2019","the lagged impact of high fuel prices during Q2 and part of Q3 of 2018-19, an effect that should"
"Minutes of the Monetary Policy Committee Meeting February 5-7, 2019","gradually reverse, as well as due to one-off policy changes such as in emission standards and"
"Minutes of the Monetary Policy Committee Meeting February 5-7, 2019",third-party insurance requirement.
"Minutes of the Monetary Policy Committee Meeting February 5-7, 2019","73.     Traditional measures of the output gap suggest some opening up, i.e., realised output"
"Minutes of the Monetary Policy Committee Meeting February 5-7, 2019","below the potential output; however, my preferred measure, the finance-neutral output gap,"
"Minutes of the Monetary Policy Committee Meeting February 5-7, 2019","remains positive, i.e., realised output is slightly above the potential output, as it captures the"
"Minutes of the Monetary Policy Committee Meeting February 5-7, 2019",healthy aggregate credit growth and stable stock market performance. This is also consistent with
"Minutes of the Monetary Policy Committee Meeting February 5-7, 2019",the elevated level of inflation excluding food and fuel.
"Minutes of the Monetary Policy Committee Meeting February 5-7, 2019","74.     Combining my inflation and growth assessments, and given the Monetary Policy"
"Minutes of the Monetary Policy Committee Meeting February 5-7, 2019",Committee (MPC)’s mandate to target headline inflation at 4% on a durable basis while paying
"Minutes of the Monetary Policy Committee Meeting February 5-7, 2019","attention to growth, I prefer to “take off the helmet” but “stay within the crease”. That is, I vote"
"Minutes of the Monetary Policy Committee Meeting February 5-7, 2019",for a change in the stance from “calibrated tightening” to “neutral” to retain policy flexibility at
"Minutes of the Monetary Policy Committee Meeting February 5-7, 2019","future dates based on incoming data, but to hold the policy rate at 6.5%. Given the elevated level"
"Minutes of the Monetary Policy Committee Meeting February 5-7, 2019","of inflation excluding food and fuel, our counterfactual exercises do not suggest any room for"
"Minutes of the Monetary Policy Committee Meeting February 5-7, 2019",accommodation; keeping the policy rate at 6.5% under these exercises turns out to be “just right”
"Minutes of the Monetary Policy Committee Meeting February 5-7, 2019",over the medium term.
"Minutes of the Monetary Policy Committee Meeting February 5-7, 2019","75.    In my view, a rate cut decision now would be heavily dependent on the assumption of"
"Minutes of the Monetary Policy Committee Meeting February 5-7, 2019","sustained weak momentum of food prices all through the next 12 months, which, as I explained,"
"Minutes of the Monetary Policy Committee Meeting February 5-7, 2019",must be viewed as coincident with significant upside risk from fiscal measures needed to address
"Minutes of the Monetary Policy Committee Meeting February 5-7, 2019","agrarian distress. It seems better to me, in times of presently healthy levels of growth, to wait till"
"Minutes of the Monetary Policy Committee Meeting February 5-7, 2019","the next policy by when uncertainties I have highlighted, especially around one-off surprises in"
"Minutes of the Monetary Policy Committee Meeting February 5-7, 2019","health and education inflation, oil prices, and global recessionary risks, could resolve. The"
"Minutes of the Monetary Policy Committee Meeting February 5-7, 2019",growth print for Q3 would also be available by then for understanding any soft spots in the
"Minutes of the Monetary Policy Committee Meeting February 5-7, 2019",domestic real economy and their drivers.
"Minutes of the Monetary Policy Committee Meeting February 5-7, 2019","76.     Finally, recall that I did vote for a rate cut in August 2017; at that point of time, all"
"Minutes of the Monetary Policy Committee Meeting February 5-7, 2019","components of inflation had experienced downward trends, upside risks to inflation had reduced,"
"Minutes of the Monetary Policy Committee Meeting February 5-7, 2019",and growth was weaker. That constellation of parameters gave me greater comfort to cut the
"Minutes of the Monetary Policy Committee Meeting February 5-7, 2019","policy rate than at the present juncture. Should a similar situation evolve in the next two months,"
"Minutes of the Monetary Policy Committee Meeting February 5-7, 2019",I would have greater clarity for future policy action.
"Minutes of the Monetary Policy Committee Meeting February 5-7, 2019",Statement by Shri Shaktikanta Das
"Minutes of the Monetary Policy Committee Meeting February 5-7, 2019",77.     The CPI inflation print of December at 2.2 per cent continued to surprise on the
"Minutes of the Monetary Policy Committee Meeting February 5-7, 2019",downside. The overall food group continued to remain in deflation with the decline in food
"Minutes of the Monetary Policy Committee Meeting February 5-7, 2019","prices becoming more broad-based. Five constituents of the food group – vegetables, sugar,"
"Minutes of the Monetary Policy Committee Meeting February 5-7, 2019","pulses, eggs and fruits – were in deflation in December. Fuel inflation also decelerated"
"Minutes of the Monetary Policy Committee Meeting February 5-7, 2019",significantly mainly due to a sharp decline in the price of liquefied petroleum gas (LPG).
"Minutes of the Monetary Policy Committee Meeting February 5-7, 2019","Inflation excluding food and fuel also moderated, dragged down mainly by the decline in the"
"Minutes of the Monetary Policy Committee Meeting February 5-7, 2019",prices of petrol and diesel in line with the decline in international petroleum product prices.
"Minutes of the Monetary Policy Committee Meeting February 5-7, 2019","Housing inflation continued to edge down. However, inflation in household goods and services;"
"Minutes of the Monetary Policy Committee Meeting February 5-7, 2019",health; recreation and amusement; and education firmed up in December 2018.
"Minutes of the Monetary Policy Committee Meeting February 5-7, 2019",14
"Minutes of the Monetary Policy Committee Meeting February 5-7, 2019","78.     Going forward, the outlook for food inflation is expected to be benign in the backdrop of"
"Minutes of the Monetary Policy Committee Meeting February 5-7, 2019",excess domestic supply conditions in many food items. The lower prices in the international
"Minutes of the Monetary Policy Committee Meeting February 5-7, 2019",markets in food items also limit the avenues for exports to address the domestic surplus. This
"Minutes of the Monetary Policy Committee Meeting February 5-7, 2019",will be an important factor in keeping the overall inflation low. Soft crude oil prices augur well
"Minutes of the Monetary Policy Committee Meeting February 5-7, 2019",for keeping the petroleum product inflation under check and this will help in containing the input
"Minutes of the Monetary Policy Committee Meeting February 5-7, 2019",costs for goods and services. Inflation expectations of households have declined significantly in
"Minutes of the Monetary Policy Committee Meeting February 5-7, 2019","the last round, which is a welcome development. CPI inflation is projected at below four per cent"
"Minutes of the Monetary Policy Committee Meeting February 5-7, 2019","in the remaining four quarters – 2.8 per cent in Q4:2018-19, 3.2-3.4 per cent in H1:2019-20 and"
"Minutes of the Monetary Policy Committee Meeting February 5-7, 2019","3.9 per cent in Q3:2019-20 – with risks broadly balanced. Beyond the near-term, however, there"
"Minutes of the Monetary Policy Committee Meeting February 5-7, 2019",is a need to guard against some uncertainties surrounding the inflation outlook such as (i) abrupt
"Minutes of the Monetary Policy Committee Meeting February 5-7, 2019",reversal in vegetable prices; (ii) haziness in the oil price outlook; (iii) the recent unusual spike in
"Minutes of the Monetary Policy Committee Meeting February 5-7, 2019","the prices of health and education, which calls for vigilance; and (iv) the impact of several"
"Minutes of the Monetary Policy Committee Meeting February 5-7, 2019","budget proposals on the aggregate demand, though the full effect of the measures will materialise"
"Minutes of the Monetary Policy Committee Meeting February 5-7, 2019",over a period of time.
"Minutes of the Monetary Policy Committee Meeting February 5-7, 2019","79.     Turning to the growth outlook, the CSO has placed India’s real GDP growth at 7.2 per"
"Minutes of the Monetary Policy Committee Meeting February 5-7, 2019","cent in 2018-19. Looking further ahead, there are signs of domestic growth slowing down"
"Minutes of the Monetary Policy Committee Meeting February 5-7, 2019","somewhat, compared to the Reserve Bank’s earlier projections. The more recent high frequency"
"Minutes of the Monetary Policy Committee Meeting February 5-7, 2019","indicators point to investment demand losing some traction, with production of capital goods and"
"Minutes of the Monetary Policy Committee Meeting February 5-7, 2019",import of capital goods contracting in recent months. High frequency indicators also suggest
"Minutes of the Monetary Policy Committee Meeting February 5-7, 2019","moderation in demand (passenger cars, consumer durables, motorcycles and tractor sales)."
"Minutes of the Monetary Policy Committee Meeting February 5-7, 2019","80.     On the supply side, rabi sowing so far has been marginally lower than the previous year,"
"Minutes of the Monetary Policy Committee Meeting February 5-7, 2019","with shortfall across crops. There is, however, an expectation that the acreage will increase in the"
"Minutes of the Monetary Policy Committee Meeting February 5-7, 2019",remaining part of the sowing season. Extended winter conditions are also likely to have a
"Minutes of the Monetary Policy Committee Meeting February 5-7, 2019",positive impact on overall wheat productivity. High-frequency and survey-based indicators for
"Minutes of the Monetary Policy Committee Meeting February 5-7, 2019",the manufacturing and services sectors suggest some slowdown in the pace of activity. In the
"Minutes of the Monetary Policy Committee Meeting February 5-7, 2019","services sector, growth of foreign tourist arrivals and international air passenger traffic"
"Minutes of the Monetary Policy Committee Meeting February 5-7, 2019","decelerated in recent months. However, indicators of the construction sector such as"
"Minutes of the Monetary Policy Committee Meeting February 5-7, 2019","consumption of steel and production of cement continued to show healthy growth, though"
"Minutes of the Monetary Policy Committee Meeting February 5-7, 2019",growth in cement production was lower in November 2018.
"Minutes of the Monetary Policy Committee Meeting February 5-7, 2019","81.     Overall financing conditions have been improving, with bank credit growth in double"
"Minutes of the Monetary Policy Committee Meeting February 5-7, 2019",digits and the total flow of resources to the commercial sector significantly higher than a year
"Minutes of the Monetary Policy Committee Meeting February 5-7, 2019","ago. Credit flows to services (such as non-banking financial companies, transport operators and"
"Minutes of the Monetary Policy Committee Meeting February 5-7, 2019","trade) and in the personal loans category, especially housing, have been robust. However, credit"
"Minutes of the Monetary Policy Committee Meeting February 5-7, 2019","growth has yet to become broad-based. Credit flows to industry, in particular, have been"
"Minutes of the Monetary Policy Committee Meeting February 5-7, 2019","anaemic; credit to micro and small industry contracted in December 2018, while credit to large"
"Minutes of the Monetary Policy Committee Meeting February 5-7, 2019",industry expanded at a moderate pace.
"Minutes of the Monetary Policy Committee Meeting February 5-7, 2019",82.     Global growth is also losing traction amidst lingering trade tensions and uncertainty
"Minutes of the Monetary Policy Committee Meeting February 5-7, 2019","around Brexit. On the positive side, crude oil prices remain soft, though the benefit for net"
"Minutes of the Monetary Policy Committee Meeting February 5-7, 2019",exports could be restricted due to slowing global demand. GDP growth for 2019-20 is projected
"Minutes of the Monetary Policy Committee Meeting February 5-7, 2019","at 7.4 per cent – in the range of 7.2-7.4 per cent in H1, and 7.5 per cent in Q3 – with risks evenly"
"Minutes of the Monetary Policy Committee Meeting February 5-7, 2019",balanced.
"Minutes of the Monetary Policy Committee Meeting February 5-7, 2019",83.     Growth impulses have weakened and there is a need to spur private investment and
"Minutes of the Monetary Policy Committee Meeting February 5-7, 2019","strengthen private consumption, especially in the wake of slowing global growth. Inflation"
"Minutes of the Monetary Policy Committee Meeting February 5-7, 2019",readings since the December 2018 policy have shown a sharp decline. The overall food outlook
"Minutes of the Monetary Policy Committee Meeting February 5-7, 2019",remains benign and the headline inflation one-year ahead is projected to remain below the target
"Minutes of the Monetary Policy Committee Meeting February 5-7, 2019",level of 4 per cent. Risks to inflation at this stage are also broadly balanced around the baseline.
"Minutes of the Monetary Policy Committee Meeting February 5-7, 2019","Hence, space has opened up for policy action to address the growth concerns in pursuance of the"
"Minutes of the Monetary Policy Committee Meeting February 5-7, 2019",provisions of the RBI Act as amended in 2016. The favourable macroeconomic configuration
"Minutes of the Monetary Policy Committee Meeting February 5-7, 2019",15
"Minutes of the Monetary Policy Committee Meeting February 5-7, 2019",that is evolving underscores the need to act decisively. The time is opportune to seize the
"Minutes of the Monetary Policy Committee Meeting February 5-7, 2019",initiative and create a congenial environment for growth to revive and ensure a sustained
"Minutes of the Monetary Policy Committee Meeting February 5-7, 2019","trajectory. Hence, I vote for a reduction in the policy repo rate by 25 basis points. I also vote for"
"Minutes of the Monetary Policy Committee Meeting February 5-7, 2019",a change in the stance of monetary policy from calibrated tightening to neutral. This change in
"Minutes of the Monetary Policy Committee Meeting February 5-7, 2019",the stance has been largely factored in by market participants after the December MPC meeting
"Minutes of the Monetary Policy Committee Meeting February 5-7, 2019",and the post policy press conference. The neutral stance will provide flexibility and the room to
"Minutes of the Monetary Policy Committee Meeting February 5-7, 2019","address challenges to sustained growth of the Indian economy over the coming months, as long"
"Minutes of the Monetary Policy Committee Meeting February 5-7, 2019",as the inflation outlook remains benign.
"Minutes of the Monetary Policy Committee Meeting February 5-7, 2019",Jose J. Kattoor
"Minutes of the Monetary Policy Committee Meeting February 5-7, 2019",Press Release: 2018-2019/2002                                             Chief General Manager
"Minutes of the Monetary Policy Committee Meeting February 5-7, 2019",16
"Minutes of the Monetary Policy Committee Meeting December 3-5, 2018","2.     The meeting was attended by all the members - Dr. Chetan Ghate, Professor,"
"Minutes of the Monetary Policy Committee Meeting December 3-5, 2018","Indian Statistical Institute; Dr. Pami Dua, Director, Delhi School of Economics; Dr."
"Minutes of the Monetary Policy Committee Meeting December 3-5, 2018","Ravindra H. Dholakia, former Professor, Indian Institute of Management,"
"Minutes of the Monetary Policy Committee Meeting December 3-5, 2018","Ahmedabad; Dr. Michael Debabrata Patra, Executive Director (the officer of the"
"Minutes of the Monetary Policy Committee Meeting December 3-5, 2018",Reserve Bank nominated by the Central Board under Section 45ZB(2)(c) of the
"Minutes of the Monetary Policy Committee Meeting December 3-5, 2018","Reserve Bank of India Act, 1934); Dr. Viral V. Acharya, Deputy Governor in charge of"
"Minutes of the Monetary Policy Committee Meeting December 3-5, 2018","monetary policy - and was chaired by Dr. Urjit R. Patel, Governor."
"Minutes of the Monetary Policy Committee Meeting December 3-5, 2018","3.      According to Section 45ZL of the Reserve Bank of India Act, 1934, the"
"Minutes of the Monetary Policy Committee Meeting December 3-5, 2018","Reserve Bank shall publish, on the fourteenth day after every meeting of the"
"Minutes of the Monetary Policy Committee Meeting December 3-5, 2018","Monetary Policy Committee, the minutes of the proceedings of the meeting which"
"Minutes of the Monetary Policy Committee Meeting December 3-5, 2018","shall include the following, namely:"
"Minutes of the Monetary Policy Committee Meeting December 3-5, 2018",(a) the resolution adopted at the meeting of the Monetary Policy Committee;
"Minutes of the Monetary Policy Committee Meeting December 3-5, 2018","(b) the vote of each member of the Monetary Policy Committee, ascribed to such"
"Minutes of the Monetary Policy Committee Meeting December 3-5, 2018","member, on the resolution adopted in the said meeting; and"
"Minutes of the Monetary Policy Committee Meeting December 3-5, 2018",(c) the statement of each member of the Monetary Policy Committee under sub-
"Minutes of the Monetary Policy Committee Meeting December 3-5, 2018",section (11) of section 45ZI on the resolution adopted in the said meeting.
"Minutes of the Monetary Policy Committee Meeting December 3-5, 2018",4.      The MPC reviewed the surveys conducted by the Reserve Bank to gauge
"Minutes of the Monetary Policy Committee Meeting December 3-5, 2018","consumer confidence, households’ inflation expectations, corporate sector"
"Minutes of the Monetary Policy Committee Meeting December 3-5, 2018","performance, credit conditions, the outlook for the industrial, services and"
"Minutes of the Monetary Policy Committee Meeting December 3-5, 2018","infrastructure sectors, and the projections of professional forecasters. The MPC also"
"Minutes of the Monetary Policy Committee Meeting December 3-5, 2018","reviewed in detail staff’s macroeconomic projections, and alternative scenarios"
"Minutes of the Monetary Policy Committee Meeting December 3-5, 2018",around various risks to the outlook. Drawing on the above and after extensive
"Minutes of the Monetary Policy Committee Meeting December 3-5, 2018","discussions on the stance of monetary policy, the MPC adopted the resolution that is"
"Minutes of the Monetary Policy Committee Meeting December 3-5, 2018",set out below.
"Minutes of the Monetary Policy Committee Meeting December 3-5, 2018",Resolution
"Minutes of the Monetary Policy Committee Meeting December 3-5, 2018",5.      On the basis of an assessment of the current and evolving macroeconomic
"Minutes of the Monetary Policy Committee Meeting December 3-5, 2018","situation at its meeting today, the Monetary Policy Committee (MPC) decided to:"
"Minutes of the Monetary Policy Committee Meeting December 3-5, 2018",• keep the policy repo rate under the liquidity adjustment facility (LAF)
"Minutes of the Monetary Policy Committee Meeting December 3-5, 2018",unchanged at 6.5 per cent.
"Minutes of the Monetary Policy Committee Meeting December 3-5, 2018","Consequently, the reverse repo rate under the LAF remains at 6.25 per cent, and the"
"Minutes of the Monetary Policy Committee Meeting December 3-5, 2018",marginal standing facility (MSF) rate and the Bank Rate at 6.75 per cent.
"Minutes of the Monetary Policy Committee Meeting December 3-5, 2018",The decision of the MPC is consistent with the stance of calibrated tightening of
"Minutes of the Monetary Policy Committee Meeting December 3-5, 2018",monetary policy in consonance with the objective of achieving the medium-term
"Minutes of the Monetary Policy Committee Meeting December 3-5, 2018",target for consumer price index (CPI) inflation of 4 per cent within a band of +/- 2 per
"Minutes of the Monetary Policy Committee Meeting December 3-5, 2018","cent, while supporting growth. The main considerations underlying the decision are"
"Minutes of the Monetary Policy Committee Meeting December 3-5, 2018",set out in the statement below.
"Minutes of the Monetary Policy Committee Meeting December 3-5, 2018",Assessment
"Minutes of the Monetary Policy Committee Meeting December 3-5, 2018","6.     Since the last MPC meeting in October 2018, global economic activity has"
"Minutes of the Monetary Policy Committee Meeting December 3-5, 2018",shown increasing signs of weakness on rising trade tensions. Among advanced
"Minutes of the Monetary Policy Committee Meeting December 3-5, 2018","economies (AEs), economic activity appears to be slowing in the US in Q4:2018,"
"Minutes of the Monetary Policy Committee Meeting December 3-5, 2018","after a buoyant Q3. The Euro area growth lost pace in Q3, impacted by weaker trade"
"Minutes of the Monetary Policy Committee Meeting December 3-5, 2018",growth and new vehicle emission standards. The Japanese economy contracted in
"Minutes of the Monetary Policy Committee Meeting December 3-5, 2018",Q3 on subdued external and domestic demand.
"Minutes of the Monetary Policy Committee Meeting December 3-5, 2018",7.     Economic activity also decelerated in major emerging market economies
"Minutes of the Monetary Policy Committee Meeting December 3-5, 2018","(EMEs) in Q3. In China, growth slowed down on weak domestic demand. The"
"Minutes of the Monetary Policy Committee Meeting December 3-5, 2018",ongoing trade tensions and the possible cooling of the housing market pose major
"Minutes of the Monetary Policy Committee Meeting December 3-5, 2018","risks to growth in China. The Russian economy lost some traction, pulled down"
"Minutes of the Monetary Policy Committee Meeting December 3-5, 2018","largely by a weak agriculture harvest, though the growth was buttressed by strong"
"Minutes of the Monetary Policy Committee Meeting December 3-5, 2018",performance of the energy sector. The Brazilian economy seems to be recovering
"Minutes of the Monetary Policy Committee Meeting December 3-5, 2018",gradually from the economic disruption in the first half of the year. The South African
"Minutes of the Monetary Policy Committee Meeting December 3-5, 2018","economy expanded in Q3, after contracting in the previous two quarters, driven by"
"Minutes of the Monetary Policy Committee Meeting December 3-5, 2018",agriculture and manufacturing.
"Minutes of the Monetary Policy Committee Meeting December 3-5, 2018","8.     Crude oil prices have declined sharply, reflecting higher supplies and easing of"
"Minutes of the Monetary Policy Committee Meeting December 3-5, 2018",geo-political tensions. Base metal prices have continued to decline on selling
"Minutes of the Monetary Policy Committee Meeting December 3-5, 2018",pressure following weak demand from major economies. Gold price has risen
"Minutes of the Monetary Policy Committee Meeting December 3-5, 2018",underpinned by safe haven demand triggered by political uncertainty in some
"Minutes of the Monetary Policy Committee Meeting December 3-5, 2018","geographies, though a strong dollar may stem the rise. The inflation scenario has"
"Minutes of the Monetary Policy Committee Meeting December 3-5, 2018","remained broadly unchanged in the US and the Euro area. In many key EMEs,"
"Minutes of the Monetary Policy Committee Meeting December 3-5, 2018","however, inflation has risen, though the recent retreat in energy prices, tightening of"
"Minutes of the Monetary Policy Committee Meeting December 3-5, 2018",policy stances by central banks and stabilising of currencies may have a salutary
"Minutes of the Monetary Policy Committee Meeting December 3-5, 2018","impact, going forward."
"Minutes of the Monetary Policy Committee Meeting December 3-5, 2018",9.     Global financial markets have been driven mainly by rising policy rates in the
"Minutes of the Monetary Policy Committee Meeting December 3-5, 2018","US, volatile crude oil prices and expectations of a slowdown compared with earlier"
"Minutes of the Monetary Policy Committee Meeting December 3-5, 2018","projections. Among AEs, equity markets in the US witnessed a selloff on the"
"Minutes of the Monetary Policy Committee Meeting December 3-5, 2018","weakening outlook for corporate earnings caused by rising borrowing costs, while the"
"Minutes of the Monetary Policy Committee Meeting December 3-5, 2018",European stock markets declined on political uncertainties. The Japanese stock
"Minutes of the Monetary Policy Committee Meeting December 3-5, 2018",market also shed gains on global cues and the gradual strengthening of the yen. EM
"Minutes of the Monetary Policy Committee Meeting December 3-5, 2018","stock markets have corrected on shrinking global liquidity, weak economic data in"
"Minutes of the Monetary Policy Committee Meeting December 3-5, 2018","some key EMEs, and lingering trade tensions. The 10-year yield in the US, which"
"Minutes of the Monetary Policy Committee Meeting December 3-5, 2018","surged on robust economic data at the beginning of October, softened subsequently"
"Minutes of the Monetary Policy Committee Meeting December 3-5, 2018","on the unchanged Fed stance. Among other AEs, bond yields in the Euro area and"
"Minutes of the Monetary Policy Committee Meeting December 3-5, 2018",Japan softened on weak economic sentiment and idiosyncratic factors. In most
"Minutes of the Monetary Policy Committee Meeting December 3-5, 2018","EMEs, bond yields have softened in recent weeks on falling crude oil prices and"
"Minutes of the Monetary Policy Committee Meeting December 3-5, 2018","steadying currencies. In currency markets, the US dollar, which was strengthening on"
"Minutes of the Monetary Policy Committee Meeting December 3-5, 2018","a widening growth differential with its peers, eased in the second half of November."
"Minutes of the Monetary Policy Committee Meeting December 3-5, 2018","The euro has weakened on Brexit and budget concerns in Italy, while the yen"
"Minutes of the Monetary Policy Committee Meeting December 3-5, 2018",appreciated on safe haven buying in November. EME currencies have been trading
"Minutes of the Monetary Policy Committee Meeting December 3-5, 2018","with an appreciating bias, supported by a sharp decline in crude oil prices and"
"Minutes of the Monetary Policy Committee Meeting December 3-5, 2018",conservative domestic monetary policy stances.
"Minutes of the Monetary Policy Committee Meeting December 3-5, 2018","10.    On the domestic front, gross domestic product (GDP) growth slowed down to"
"Minutes of the Monetary Policy Committee Meeting December 3-5, 2018","7.1 per cent year-on-year (y-o-y) in Q2:2018-19, after four consecutive quarters of"
"Minutes of the Monetary Policy Committee Meeting December 3-5, 2018","acceleration, weighed down by moderation in private consumption and a large drag"
"Minutes of the Monetary Policy Committee Meeting December 3-5, 2018",from net exports. Private consumption slowed down possibly on account of
"Minutes of the Monetary Policy Committee Meeting December 3-5, 2018","moderation in rural demand, subdued growth in kharif output, depressed prices of"
"Minutes of the Monetary Policy Committee Meeting December 3-5, 2018","agricultural commodities and sluggish growth in rural wages. However, growth in"
"Minutes of the Monetary Policy Committee Meeting December 3-5, 2018","government final consumption expenditure (GFCE) strengthened, buoyed by higher"
"Minutes of the Monetary Policy Committee Meeting December 3-5, 2018",spending by the central government. Gross fixed capital formation (GFCF) expanded
"Minutes of the Monetary Policy Committee Meeting December 3-5, 2018","by double-digits for the third consecutive quarter, driven mainly by the public sector’s"
"Minutes of the Monetary Policy Committee Meeting December 3-5, 2018","thrust on national highways and rural infrastructure, which was also reflected in"
"Minutes of the Monetary Policy Committee Meeting December 3-5, 2018",robust growth in cement production and steel consumption. Growth of imports
"Minutes of the Monetary Policy Committee Meeting December 3-5, 2018","accelerated at a much faster pace than that of exports, resulting in net exports pulling"
"Minutes of the Monetary Policy Committee Meeting December 3-5, 2018",down aggregate demand.
"Minutes of the Monetary Policy Committee Meeting December 3-5, 2018","11.     On the supply side, growth of gross value added (GVA) at basic prices"
"Minutes of the Monetary Policy Committee Meeting December 3-5, 2018","decelerated to 6.9 per cent in Q2, reflecting moderation in agricultural and industrial"
"Minutes of the Monetary Policy Committee Meeting December 3-5, 2018",activities. Slowdown in agricultural GVA was largely the outcome of tepid growth in
"Minutes of the Monetary Policy Committee Meeting December 3-5, 2018","kharif production. Within industry, growth in manufacturing decelerated due to lower"
"Minutes of the Monetary Policy Committee Meeting December 3-5, 2018","profitability of manufacturing firms, pulled down largely by a rise in input costs, while"
"Minutes of the Monetary Policy Committee Meeting December 3-5, 2018","that in mining and quarrying turned negative, caused by a contraction in output of"
"Minutes of the Monetary Policy Committee Meeting December 3-5, 2018","crude oil and natural gas. Growth in electricity, gas, water supply and other utility"
"Minutes of the Monetary Policy Committee Meeting December 3-5, 2018",services strengthened. Services sector growth remained unchanged at the previous
"Minutes of the Monetary Policy Committee Meeting December 3-5, 2018","quarter’s level. Of its constituents, growth in construction activity decelerated"
"Minutes of the Monetary Policy Committee Meeting December 3-5, 2018","sequentially, but it was much higher on a y-o-y basis. Growth in public administration"
"Minutes of the Monetary Policy Committee Meeting December 3-5, 2018",and defence services accelerated sharply.
"Minutes of the Monetary Policy Committee Meeting December 3-5, 2018","12.    Looking beyond Q2, rabi sowing so far (up to end-November) has been 8.3"
"Minutes of the Monetary Policy Committee Meeting December 3-5, 2018",per cent lower as compared with the same period last year due mainly to lower soil
"Minutes of the Monetary Policy Committee Meeting December 3-5, 2018",moisture levels resulting from a deficient monsoon and a delayed kharif harvest
"Minutes of the Monetary Policy Committee Meeting December 3-5, 2018",across states. Precipitation during the north-east monsoon as on November 28 was
"Minutes of the Monetary Policy Committee Meeting December 3-5, 2018","49 per cent below the long period average. Storage in major reservoirs, the main"
"Minutes of the Monetary Policy Committee Meeting December 3-5, 2018","source of irrigation during the rabi season, was at 61 per cent of the full reservoir"
"Minutes of the Monetary Policy Committee Meeting December 3-5, 2018",level as on November 29.
"Minutes of the Monetary Policy Committee Meeting December 3-5, 2018",13.    Growth in the index of industrial production (IIP) slowed down to 4.5 per cent
"Minutes of the Monetary Policy Committee Meeting December 3-5, 2018","in September 2018. Capacity utilisation (CU), measured by the Reserve Bank’s"
"Minutes of the Monetary Policy Committee Meeting December 3-5, 2018","Order Books, Inventories and Capacity Utilisation Survey (OBICUS), increased from"
"Minutes of the Monetary Policy Committee Meeting December 3-5, 2018","73.8 per cent in Q1 to 76.1 per cent in Q2, which was higher than the long-term"
