"","identifier","lines"
"28922","Minutes of the Monetary Policy Committee Meeting June 3, 4 and 6, 2019","especially the response to ongoing distress in the agrarian economy, caused in part by low"
"28923","Minutes of the Monetary Policy Committee Meeting June 3, 4 and 6, 2019","food prices and reflected in low rural inflation of less than 2% compared to urban inflation"
"28924","Minutes of the Monetary Policy Committee Meeting June 3, 4 and 6, 2019","that remains above 4%. Would the response worsen the fiscal outlook for next year and"
"28925","Minutes of the Monetary Policy Committee Meeting June 3, 4 and 6, 2019","beyond, or keep it contained through pursuit of much-needed reforms for the agricultural"
"28926","Minutes of the Monetary Policy Committee Meeting June 3, 4 and 6, 2019","sector and reduction/rationalisation of other revenue expenditures? Equally importantly, the"
"28927","Minutes of the Monetary Policy Committee Meeting June 3, 4 and 6, 2019","pattern of PSBR evolution during the rest of 2019-20 would also be critical for assessing the"
"28928","Minutes of the Monetary Policy Committee Meeting June 3, 4 and 6, 2019","inflation outlook. Hence, the MPC needs to carefully watch out for these fiscal developments."
"28929","Minutes of the Monetary Policy Committee Meeting June 3, 4 and 6, 2019","1"
"28930","Minutes of the Monetary Policy Committee Meeting June 3, 4 and 6, 2019"," Please see pieces by Sajjid Z Chinoy and Toshi Jain of J.P.Morgan: India’s interim budget tries to strike a"
"28931","Minutes of the Monetary Policy Committee Meeting June 3, 4 and 6, 2019","balance, but the real story is off-balance sheet; RBI is a close-call next week; India in 2019: still waters run deep"
"28932","Minutes of the Monetary Policy Committee Meeting June 3, 4 and 6, 2019",""
"28933","Minutes of the Monetary Policy Committee Meeting June 3, 4 and 6, 2019","                                                14"
"28934","Minutes of the Monetary Policy Committee Meeting June 3, 4 and 6, 2019",""
"28935","Minutes of the Monetary Policy Committee Meeting June 3, 4 and 6, 2019","68.    Turning to growth, the Q4:2018-19 GDP print has widened the traditional measure of"
"28936","Minutes of the Monetary Policy Committee Meeting June 3, 4 and 6, 2019","the output gap to be more negative. Several coincident economic indicators for Q1:2019-20,"
"28937","Minutes of the Monetary Policy Committee Meeting June 3, 4 and 6, 2019","such as consumer durables and non-durables consumption as well as investment activity"
"28938","Minutes of the Monetary Policy Committee Meeting June 3, 4 and 6, 2019","continue to remain weak. It is to be noted though that my preferred measure of the output gap"
"28939","Minutes of the Monetary Policy Committee Meeting June 3, 4 and 6, 2019","– the finance-neutral output gap (FNOG) – remains closed as (i) aggregate credit growth"
"28940","Minutes of the Monetary Policy Committee Meeting June 3, 4 and 6, 2019","remains above nominal GDP growth rate; (ii) the impact of past two policy rate cuts will"
"28941","Minutes of the Monetary Policy Committee Meeting June 3, 4 and 6, 2019","provide fuller transmission to the real sector over the next year; and, (iii) the post-election"
"28942","Minutes of the Monetary Policy Committee Meeting June 3, 4 and 6, 2019","reduction of financial market uncertainty has led to a softening of the bond yields and a"
"28943","Minutes of the Monetary Policy Committee Meeting June 3, 4 and 6, 2019","rebound in equity markets in May. In other words, growth has slowed down but financial"
"28944","Minutes of the Monetary Policy Committee Meeting June 3, 4 and 6, 2019","conditions have eased which should provide a tailwind to growth and help investment activity"
"28945","Minutes of the Monetary Policy Committee Meeting June 3, 4 and 6, 2019","revive on the back of steadily improving capacity utilisation."
"28946","Minutes of the Monetary Policy Committee Meeting June 3, 4 and 6, 2019","69.    Nevertheless, on balance, I concluded that the mixed picture on economic growth has"
"28947","Minutes of the Monetary Policy Committee Meeting June 3, 4 and 6, 2019","morphed into one where at least some aspects have weakened considerably over the past two"
"28948","Minutes of the Monetary Policy Committee Meeting June 3, 4 and 6, 2019","quarters."
"28949","Minutes of the Monetary Policy Committee Meeting June 3, 4 and 6, 2019","70.     In the April 2019 policy, I had voted to keep the policy rate at 6.25%, whereas the"
"28950","Minutes of the Monetary Policy Committee Meeting June 3, 4 and 6, 2019","MPC had cut the policy rate to 6%. Counterfactual exercises suggest that under the baseline"
"28951","Minutes of the Monetary Policy Committee Meeting June 3, 4 and 6, 2019","projections of the RBI, the policy repo rate at 6% is just ""right"" in the short term to achieve"
"28952","Minutes of the Monetary Policy Committee Meeting June 3, 4 and 6, 2019","MPC's mandated target of 4% headline inflation in the medium term. However, the large"
"28953","Minutes of the Monetary Policy Committee Meeting June 3, 4 and 6, 2019","decline in ex-food-fuel inflation since the April policy implies some space in these"
"28954","Minutes of the Monetary Policy Committee Meeting June 3, 4 and 6, 2019","counterfactual exercises to accommodate growth weakness with a policy rate cut of around 20"
"28955","Minutes of the Monetary Policy Committee Meeting June 3, 4 and 6, 2019","basis points sometime in the middle of 2019-20."
"28956","Minutes of the Monetary Policy Committee Meeting June 3, 4 and 6, 2019","71.    I do remain concerned about the following upside risks to inflation:"
"28957","Minutes of the Monetary Policy Committee Meeting June 3, 4 and 6, 2019"," i)    The monsoon uncertainty imparting further spike in food prices and the possibility of"
"28958","Minutes of the Monetary Policy Committee Meeting June 3, 4 and 6, 2019","       vegetable price reversal in winter months turning out to be lower than expected. Not"
"28959","Minutes of the Monetary Policy Committee Meeting June 3, 4 and 6, 2019","       only would this worsen the inflation outlook directly, but potentially also indirectly via"
"28960","Minutes of the Monetary Policy Committee Meeting June 3, 4 and 6, 2019","       the fiscal channel as it would aggravate the agrarian distress."
"28961","Minutes of the Monetary Policy Committee Meeting June 3, 4 and 6, 2019","ii)    The rise in implied volatility of international crude oil prices from 30% to 50% over the"
"28962","Minutes of the Monetary Policy Committee Meeting June 3, 4 and 6, 2019","       past month even as oil prices have corrected downwards."
"28963","Minutes of the Monetary Policy Committee Meeting June 3, 4 and 6, 2019","iii)   The possibility of an upward level-shift in the price of the Indian crude basket due to a"
"28964","Minutes of the Monetary Policy Committee Meeting June 3, 4 and 6, 2019","       shift in its composition from Iran and Venezuela to other oil suppliers."
"28965","Minutes of the Monetary Policy Committee Meeting June 3, 4 and 6, 2019","iv)    The fiscal undercurrents impacting the generalized inflation outlook. As also conveyed"
"28966","Minutes of the Monetary Policy Committee Meeting June 3, 4 and 6, 2019","       earlier, I worry especially about a worsening of the PSBR in conjunction with rising oil"
"28967","Minutes of the Monetary Policy Committee Meeting June 3, 4 and 6, 2019","       prices, say due to geopolitical tensions; such a coincidence creates a “twin deficit” –"
"28968","Minutes of the Monetary Policy Committee Meeting June 3, 4 and 6, 2019","       fiscal and current account deficits – scenario for imported inflation, a glimpse of which"
"28969","Minutes of the Monetary Policy Committee Meeting June 3, 4 and 6, 2019","       we have had only recently during H1:2018-19."
"28970","Minutes of the Monetary Policy Committee Meeting June 3, 4 and 6, 2019","72.     Let me elaborate on the last of these upside risks. The Indian economy appears to"
"28971","Minutes of the Monetary Policy Committee Meeting June 3, 4 and 6, 2019","experience “twin deficit” related vulnerability on a regular basis when external shocks"
"28972","Minutes of the Monetary Policy Committee Meeting June 3, 4 and 6, 2019","amplify domestic weaknesses. The key to dealing with such a scenario is the ability and the"
"28973","Minutes of the Monetary Policy Committee Meeting June 3, 4 and 6, 2019","willingness of the central bank to maintain credibility of inflation targeting when imported"
"28974","Minutes of the Monetary Policy Committee Meeting June 3, 4 and 6, 2019","inflation tends to rise steeply (e.g., due to rising oil prices, widening fiscal and current account"
"28975","Minutes of the Monetary Policy Committee Meeting June 3, 4 and 6, 2019","deficits, and, in turn, depreciating currency). Since monetary policy response will cool down"
"28976","Minutes of the Monetary Policy Committee Meeting June 3, 4 and 6, 2019","inflation only with substantive lags, some headroom needs to be maintained in the inflation"
"28977","Minutes of the Monetary Policy Committee Meeting June 3, 4 and 6, 2019","trajectory below the mandated target so as to absorb the steep rise in imported inflation"
"28978","Minutes of the Monetary Policy Committee Meeting June 3, 4 and 6, 2019","without the headline moving far away from the target. Similarly, headroom needs to be"
"28979","Minutes of the Monetary Policy Committee Meeting June 3, 4 and 6, 2019","retained in the policy rate space so as to help revive growth with monetary accommodation"
"28980","Minutes of the Monetary Policy Committee Meeting June 3, 4 and 6, 2019",""
"28981","Minutes of the Monetary Policy Committee Meeting June 3, 4 and 6, 2019","                                                        15"
"28982","Minutes of the Monetary Policy Committee Meeting June 3, 4 and 6, 2019",""
"28983","Minutes of the Monetary Policy Committee Meeting June 3, 4 and 6, 2019","once the economy has cooled off and twin deficits reined in. In my assessment, this is exactly"
"28984","Minutes of the Monetary Policy Committee Meeting June 3, 4 and 6, 2019","the ""robust"" approach that the MPC had adopted during the last year 2."
"28985","Minutes of the Monetary Policy Committee Meeting June 3, 4 and 6, 2019","73.      Finally, a few words on the trade war uncertainty and India are in order. By not being"
"28986","Minutes of the Monetary Policy Committee Meeting June 3, 4 and 6, 2019","a significant part of global supply chains in manufacturing, India’s direct exposure to the"
"28987","Minutes of the Monetary Policy Committee Meeting June 3, 4 and 6, 2019","present correction in global growth is likely to be somewhat muted. Indeed, this"
"28988","Minutes of the Monetary Policy Committee Meeting June 3, 4 and 6, 2019","consideration has led to India being perceived by investors as somewhat of a “safe haven”"
"28989","Minutes of the Monetary Policy Committee Meeting June 3, 4 and 6, 2019","economy. Hence, it is my view that growth concerns for India based on moderate trade war"
"28990","Minutes of the Monetary Policy Committee Meeting June 3, 4 and 6, 2019","concerns are somewhat overstated. A full-scale trade war blowout may, however, result in an"
"28991","Minutes of the Monetary Policy Committee Meeting June 3, 4 and 6, 2019","emerging markets sell-off by foreign portfolio investors, engulfing India’s external sector and"
"28992","Minutes of the Monetary Policy Committee Meeting June 3, 4 and 6, 2019","raising prospects of imported inflation, especially if it coincides with a worsening PSBR, and"
"28993","Minutes of the Monetary Policy Committee Meeting June 3, 4 and 6, 2019","even more perversely, if instead of easing due to weak global growth, oil prices were instead"
"28994","Minutes of the Monetary Policy Committee Meeting June 3, 4 and 6, 2019","to rise from geopolitical tensions."
"28995","Minutes of the Monetary Policy Committee Meeting June 3, 4 and 6, 2019","74.    Counterfactual exercises suggest that a fiscal slippage of 50 basis points (a"
"28996","Minutes of the Monetary Policy Committee Meeting June 3, 4 and 6, 2019","conservative assessment based on the PSBR estimates) or an oil price increase of 10% leave"
"28997","Minutes of the Monetary Policy Committee Meeting June 3, 4 and 6, 2019","no space to cut the policy rate below 6%."
"28998","Minutes of the Monetary Policy Committee Meeting June 3, 4 and 6, 2019","75.    How should I vote? I found that I was speaking to myself as Santiago, the old"
"28999","Minutes of the Monetary Policy Committee Meeting June 3, 4 and 6, 2019","fisherman, in “Old Man and the Sea” by Ernest Hemingway:"
"29000","Minutes of the Monetary Policy Committee Meeting June 3, 4 and 6, 2019","    “It is better to be lucky. But I would rather be exact. Then when luck comes, you are"
"29001","Minutes of the Monetary Policy Committee Meeting June 3, 4 and 6, 2019","ready.”"
"29002","Minutes of the Monetary Policy Committee Meeting June 3, 4 and 6, 2019",""
"29003","Minutes of the Monetary Policy Committee Meeting June 3, 4 and 6, 2019","76.      In spite of my dilemma, I vote – albeit with some hesitation – to frontload the policy"
"29004","Minutes of the Monetary Policy Committee Meeting June 3, 4 and 6, 2019","rate cut from 6% to 5.75% (a 50 basis points rate cut from my April vote to keep the policy"
"29005","Minutes of the Monetary Policy Committee Meeting June 3, 4 and 6, 2019","rate at 6.25%). This would provide an insurance to help prevent the output gap from widening"
"29006","Minutes of the Monetary Policy Committee Meeting June 3, 4 and 6, 2019","further or the finance-neutral output gap (FNOG) from turning negative. The MPC will need"
"29007","Minutes of the Monetary Policy Committee Meeting June 3, 4 and 6, 2019","to remain on guard and be prepared to provide such insurance in a symmetric manner if"
"29008","Minutes of the Monetary Policy Committee Meeting June 3, 4 and 6, 2019","upside risks to inflation were to materialize."
"29009","Minutes of the Monetary Policy Committee Meeting June 3, 4 and 6, 2019","77.    I also vote to change the monetary policy stance from neutral to accommodative. This"
"29010","Minutes of the Monetary Policy Committee Meeting June 3, 4 and 6, 2019","is because the uncertainty around the upside risks to inflation I have highlighted will resolve"
"29011","Minutes of the Monetary Policy Committee Meeting June 3, 4 and 6, 2019","only gradually over the next few months and can be factored into future MPC decisions in a"
"29012","Minutes of the Monetary Policy Committee Meeting June 3, 4 and 6, 2019","data-dependent manner, but seem highly unlikely to lead to a rate hike at the next policy."
"29013","Minutes of the Monetary Policy Committee Meeting June 3, 4 and 6, 2019",""
"29014","Minutes of the Monetary Policy Committee Meeting June 3, 4 and 6, 2019","Statement by Shri Shaktikanta Das"
"29015","Minutes of the Monetary Policy Committee Meeting June 3, 4 and 6, 2019","78.     Since the last MPC meeting in April 2019, greater clarity has emerged about the"
"29016","Minutes of the Monetary Policy Committee Meeting June 3, 4 and 6, 2019","evolving macroeconomic situation. Overall, there is clear evidence of economic activity"
"29017","Minutes of the Monetary Policy Committee Meeting June 3, 4 and 6, 2019","losing traction, with the GDP growth in Q4:2018-19 slowing down to 5.8 per cent. CPI"
"29018","Minutes of the Monetary Policy Committee Meeting June 3, 4 and 6, 2019","inflation excluding food and fuel registered a 20-month low in April 2019 even as the"
"29019","Minutes of the Monetary Policy Committee Meeting June 3, 4 and 6, 2019","headline CPI inflation evolved broadly along the projected lines. High frequency indicators"
"29020","Minutes of the Monetary Policy Committee Meeting June 3, 4 and 6, 2019","suggest that the global economy could not sustain the improved performance in Q1:2019 in"
"29021","Minutes of the Monetary Policy Committee Meeting June 3, 4 and 6, 2019","the face of a sharp slowdown in trade and manufacturing. Consequently, central banks in"
"29022","Minutes of the Monetary Policy Committee Meeting June 3, 4 and 6, 2019","both advanced and emerging market economies have adopted an accommodative stance in"
"29023","Minutes of the Monetary Policy Committee Meeting June 3, 4 and 6, 2019","monetary policy."
"29024","Minutes of the Monetary Policy Committee Meeting June 3, 4 and 6, 2019","79.    CPI inflation in April 2019 remained unchanged at the previous month’s level of 2.9"
"29025","Minutes of the Monetary Policy Committee Meeting June 3, 4 and 6, 2019","per cent, though there were significant compositional shifts. Inflation in the food group"
"29026","Minutes of the Monetary Policy Committee Meeting June 3, 4 and 6, 2019","increased sharply to 1.4 per cent in April 2019 from 0.7 per cent in March, with vegetables"
"29027","Minutes of the Monetary Policy Committee Meeting June 3, 4 and 6, 2019",""
"29028","Minutes of the Monetary Policy Committee Meeting June 3, 4 and 6, 2019","2"
"29029","Minutes of the Monetary Policy Committee Meeting June 3, 4 and 6, 2019","  Note also that this “robust” inflation-targeting approach is different from an interest-rate defense of the"
"29030","Minutes of the Monetary Policy Committee Meeting June 3, 4 and 6, 2019","currency; the latter explicitly targets a level of the exchange rate and was ruled out by the MPC in the October"
"29031","Minutes of the Monetary Policy Committee Meeting June 3, 4 and 6, 2019","2018 policy."
"29032","Minutes of the Monetary Policy Committee Meeting June 3, 4 and 6, 2019",""
"29033","Minutes of the Monetary Policy Committee Meeting June 3, 4 and 6, 2019","                                               16"
"29034","Minutes of the Monetary Policy Committee Meeting June 3, 4 and 6, 2019",""
"29035","Minutes of the Monetary Policy Committee Meeting June 3, 4 and 6, 2019","moving out of deflation after nine months. Inflation in the fuel and light group also rose to 2.6"
"29036","Minutes of the Monetary Policy Committee Meeting June 3, 4 and 6, 2019","per cent in April from the February low of 1.2 per cent, mainly due to an increase in the prices"
"29037","Minutes of the Monetary Policy Committee Meeting June 3, 4 and 6, 2019","of liquified petroleum gas following increase in international prices. However, the increase in"
"29038","Minutes of the Monetary Policy Committee Meeting June 3, 4 and 6, 2019","food and fuel inflation was entirely offset by a sharp decline in inflation in items excluding"
"29039","Minutes of the Monetary Policy Committee Meeting June 3, 4 and 6, 2019","food and fuel to 4.5 per cent in April from 5.1 per cent in March – the largest monthly decline"
"29040","Minutes of the Monetary Policy Committee Meeting June 3, 4 and 6, 2019","since April 2017. The moderation in inflation excluding food and fuel, reflecting weakening"
"29041","Minutes of the Monetary Policy Committee Meeting June 3, 4 and 6, 2019","of demand conditions, was quite broad-based, spread across several groups like household"
"29042","Minutes of the Monetary Policy Committee Meeting June 3, 4 and 6, 2019","goods and services, personal care and effects, education and housing. Inflation expectations of"
"29043","Minutes of the Monetary Policy Committee Meeting June 3, 4 and 6, 2019","households in the May 2019 round of the Reserve Bank’s survey softened further by 20 basis"
"29044","Minutes of the Monetary Policy Committee Meeting June 3, 4 and 6, 2019","points for the three-month ahead horizon as compared with the previous round, though they"
"29045","Minutes of the Monetary Policy Committee Meeting June 3, 4 and 6, 2019","remained unchanged for the one-year ahead horizon."
"29046","Minutes of the Monetary Policy Committee Meeting June 3, 4 and 6, 2019","80.    Inflation projections have been revised to 3.0-3.1 per cent for H1:2019-20 (up by 10"
"29047","Minutes of the Monetary Policy Committee Meeting June 3, 4 and 6, 2019","basis points in comparison with the last policy) and to 3.4-3.7 per cent for H2 (down by 10"
"29048","Minutes of the Monetary Policy Committee Meeting June 3, 4 and 6, 2019","basis points relative to the last policy), with risks broadly balanced. There are, however,"
"29049","Minutes of the Monetary Policy Committee Meeting June 3, 4 and 6, 2019","several uncertainties to the baseline inflation path – the progress of monsoon, unexpected"
"29050","Minutes of the Monetary Policy Committee Meeting June 3, 4 and 6, 2019","spikes in vegetable prices, international petroleum product prices and their pass-through to"
"29051","Minutes of the Monetary Policy Committee Meeting June 3, 4 and 6, 2019","domestic prices, volatility in financial markets, and the fiscal situation."
"29052","Minutes of the Monetary Policy Committee Meeting June 3, 4 and 6, 2019","81.     Turning to economic activity, the May 31, 2019 data release of the National Statistical"
"29053","Minutes of the Monetary Policy Committee Meeting June 3, 4 and 6, 2019","Office (NSO) placed GDP growth for 2018-19 at 6.8 per cent, down by 20 basis points"
"29054","Minutes of the Monetary Policy Committee Meeting June 3, 4 and 6, 2019","relative to its February 28, 2019 estimates. In Q4 of 2018-19, GDP growth decelerated"
"29055","Minutes of the Monetary Policy Committee Meeting June 3, 4 and 6, 2019","sharply to 5.8 per cent from 6.6 per cent in Q3 and 8.1 per cent a year ago. Though the base"
"29056","Minutes of the Monetary Policy Committee Meeting June 3, 4 and 6, 2019","effect played some part, growth momentum also slowed down. Investment activity, in"
"29057","Minutes of the Monetary Policy Committee Meeting June 3, 4 and 6, 2019","particular, decelerated sharply. On the supply side, agriculture and allied activities contracted,"
"29058","Minutes of the Monetary Policy Committee Meeting June 3, 4 and 6, 2019","while manufacturing activity weakened significantly. Service sector growth remained"
"29059","Minutes of the Monetary Policy Committee Meeting June 3, 4 and 6, 2019","resilient, though construction activity decelerated markedly."
"29060","Minutes of the Monetary Policy Committee Meeting June 3, 4 and 6, 2019","82.     Looking ahead, the forecast of a normal south-west monsoon by India Meteorological"
"29061","Minutes of the Monetary Policy Committee Meeting June 3, 4 and 6, 2019","Department (IMD) augurs well for agriculture. Even as the third advance estimates of"
"29062","Minutes of the Monetary Policy Committee Meeting June 3, 4 and 6, 2019","foodgrains production for 2018-19 were lower (by 0.6 per cent) as compared with the"
"29063","Minutes of the Monetary Policy Committee Meeting June 3, 4 and 6, 2019","previous year, adequate stocks of foodgrains (3.4 times the prescribed buffer norms) provide a"
"29064","Minutes of the Monetary Policy Committee Meeting June 3, 4 and 6, 2019","backstop against any supply shocks. In the industrial sector, growth in eight core industries"
"29065","Minutes of the Monetary Policy Committee Meeting June 3, 4 and 6, 2019","decelerated sharply in April. Credit flows from banks to large industries strengthened, though"
"29066","Minutes of the Monetary Policy Committee Meeting June 3, 4 and 6, 2019","they remained muted for micro and small as well as medium industries. Seasonally adjusted"
"29067","Minutes of the Monetary Policy Committee Meeting June 3, 4 and 6, 2019","capacity utilisation (CU) in the manufacturing sector slipped to 75.2 per cent in Q4 from 75.8"
"29068","Minutes of the Monetary Policy Committee Meeting June 3, 4 and 6, 2019","per cent in Q3. Growth in imports of capital goods – a key indicator of investment activity –"
"29069","Minutes of the Monetary Policy Committee Meeting June 3, 4 and 6, 2019","remained weak in April. High frequency indicators suggest moderation in activity in the"
"29070","Minutes of the Monetary Policy Committee Meeting June 3, 4 and 6, 2019","service sector. Sales of commercial vehicles, tractors, passenger cars, and two- and three-"
"29071","Minutes of the Monetary Policy Committee Meeting June 3, 4 and 6, 2019","wheelers contracted in April. Cement production and steel consumption – the two key"
"29072","Minutes of the Monetary Policy Committee Meeting June 3, 4 and 6, 2019","indicators of construction activity – slowed down in April. Overall imports in April grew at a"
"29073","Minutes of the Monetary Policy Committee Meeting June 3, 4 and 6, 2019","much faster pace than exports. Projected GDP growth for 2019-20 is revised downwards from"
"29074","Minutes of the Monetary Policy Committee Meeting June 3, 4 and 6, 2019","7.2 per cent in the April policy to 7.0 per cent – in the range of 6.4-6.7 per cent for H1:2019-"
"29075","Minutes of the Monetary Policy Committee Meeting June 3, 4 and 6, 2019","20 and 7.2-7.5 per cent for H2 – with risks evenly balanced."
"29076","Minutes of the Monetary Policy Committee Meeting June 3, 4 and 6, 2019","83.     Over the last few years, the Central Government has by and large followed a policy of"
"29077","Minutes of the Monetary Policy Committee Meeting June 3, 4 and 6, 2019","fiscal prudence. It has adhered to the fiscal deficit glide path in the last 5 years, though at a"
"29078","Minutes of the Monetary Policy Committee Meeting June 3, 4 and 6, 2019","somewhat slower pace than committed earlier. Public sector borrowing includes several"
"29079","Minutes of the Monetary Policy Committee Meeting June 3, 4 and 6, 2019","public sector enterprises which have their own revenue streams to service their debt and take"
"29080","Minutes of the Monetary Policy Committee Meeting June 3, 4 and 6, 2019","care of their liabilities. Borrowings by such public sector enterprises are mostly for capital"
"29081","Minutes of the Monetary Policy Committee Meeting June 3, 4 and 6, 2019","expenditure. Hence, such borrowings should be viewed differently."
"29082","Minutes of the Monetary Policy Committee Meeting June 3, 4 and 6, 2019","84.     Liquidity in the system turned into surplus in early June after a large injection of"
"29083","Minutes of the Monetary Policy Committee Meeting June 3, 4 and 6, 2019","durable liquidity by the Reserve Bank in the previous months. The 10-year government"
"29084","Minutes of the Monetary Policy Committee Meeting June 3, 4 and 6, 2019","securities benchmark yield has declined by about 40 basis points from its average in April"
"29085","Minutes of the Monetary Policy Committee Meeting June 3, 4 and 6, 2019","2019 to about 7 per cent. The transmission of the cumulative reduction of 50 bps in the policy"
"29086","Minutes of the Monetary Policy Committee Meeting June 3, 4 and 6, 2019","repo rate in February and April 2019 to fresh rupee loans has been 21 basis points. However,"
"29087","Minutes of the Monetary Policy Committee Meeting June 3, 4 and 6, 2019",""
"29088","Minutes of the Monetary Policy Committee Meeting June 3, 4 and 6, 2019","                                               17"
"29089","Minutes of the Monetary Policy Committee Meeting June 3, 4 and 6, 2019",""
"29090","Minutes of the Monetary Policy Committee Meeting June 3, 4 and 6, 2019","the weighted average lending rate on outstanding loans has increased by 4 basis points. Going"
"29091","Minutes of the Monetary Policy Committee Meeting June 3, 4 and 6, 2019","forward, the transmission is expected to improve, given the lags with which banks adjust their"
"29092","Minutes of the Monetary Policy Committee Meeting June 3, 4 and 6, 2019","deposit and lending rates in response to changes in the policy rate. It is to be noted that quite"
"29093","Minutes of the Monetary Policy Committee Meeting June 3, 4 and 6, 2019","a sizable part of loan portfolio of banks continues at the base rate, which impedes monetary"
"29094","Minutes of the Monetary Policy Committee Meeting June 3, 4 and 6, 2019","transmission. Interest rates on small savings are also higher than the prescribed formula."
"29095","Minutes of the Monetary Policy Committee Meeting June 3, 4 and 6, 2019","85.     In sum, growth impulses have clearly weakened, while the headline inflation trajectory"
"29096","Minutes of the Monetary Policy Committee Meeting June 3, 4 and 6, 2019","is projected to remain below 4.0 per cent throughout 2019-20 even after considering the"
"29097","Minutes of the Monetary Policy Committee Meeting June 3, 4 and 6, 2019","expected transmission of the past two policy rate cuts. Keeping in view the evolving growth-"
"29098","Minutes of the Monetary Policy Committee Meeting June 3, 4 and 6, 2019","inflation dynamics, there is a need for decisive monetary policy action. Hence, my vote is to"
"29099","Minutes of the Monetary Policy Committee Meeting June 3, 4 and 6, 2019","reduce the policy repo rate by 25 basis points. My vote is also to shift the stance of monetary"
"29100","Minutes of the Monetary Policy Committee Meeting June 3, 4 and 6, 2019","policy from neutral to accommodative to send a clear signal."
"29101","Minutes of the Monetary Policy Committee Meeting June 3, 4 and 6, 2019",""
"29102","Minutes of the Monetary Policy Committee Meeting June 3, 4 and 6, 2019",""
"29103","Minutes of the Monetary Policy Committee Meeting June 3, 4 and 6, 2019","                                                                           Yogesh Dayal"
"29104","Minutes of the Monetary Policy Committee Meeting June 3, 4 and 6, 2019","Press Release: 2018-2019/3001                                      Chief General Manager"
"29105","Minutes of the Monetary Policy Committee Meeting June 3, 4 and 6, 2019",""
"29106","Minutes of the Monetary Policy Committee Meeting April 2-4, 2019","                                                                                                                         प्रेस प्रकाशनी PRESS RELEASE"
"29107","Minutes of the Monetary Policy Committee Meeting April 2-4, 2019",""
"29108","Minutes of the Monetary Policy Committee Meeting April 2-4, 2019",""
"29109","Minutes of the Monetary Policy Committee Meeting April 2-4, 2019",""
"29110","Minutes of the Monetary Policy Committee Meeting April 2-4, 2019",""
"29111","Minutes of the Monetary Policy Committee Meeting April 2-4, 2019","                                                                                                                         भारतीय �रज़वर् ब�क"
"29112","Minutes of the Monetary Policy Committee Meeting April 2-4, 2019","                                                                                                                          RESERVE BANK OF INDIA"
"29113","Minutes of the Monetary Policy Committee Meeting April 2-4, 2019","                                       संचार �वभाग, क�द्र�य कायार्लय, एस.बी.एस.मागर्, मुंबई-400001"
"29114","Minutes of the Monetary Policy Committee Meeting April 2-4, 2019"," _____________________________________________________________________________________________________________________"
"29115","Minutes of the Monetary Policy Committee Meeting April 2-4, 2019","                                                                                                                             0      : www.rbi.org.in/hindi"
"29116","Minutes of the Monetary Policy Committee Meeting April 2-4, 2019","                                                                                                                                 वेबसाइट"
"29117","Minutes of the Monetary Policy Committee Meeting April 2-4, 2019","                      DEPARTMENT OF COMMUNICATION, Central Office, S.B.S.Marg, Mumbai-400001                                    Website : www.rbi.org.in"
"29118","Minutes of the Monetary Policy Committee Meeting April 2-4, 2019","                                       फोन/Phone: 022 2261 0835 फैक्स/Fax: 91 22 22660358                                   इ-मेल email: helpdoc@rbi.org.in"
"29119","Minutes of the Monetary Policy Committee Meeting April 2-4, 2019",""
"29120","Minutes of the Monetary Policy Committee Meeting April 2-4, 2019",""
"29121","Minutes of the Monetary Policy Committee Meeting April 2-4, 2019","                                                                                                                                            April 18, 2019"
"29122","Minutes of the Monetary Policy Committee Meeting April 2-4, 2019",""
"29123","Minutes of the Monetary Policy Committee Meeting April 2-4, 2019","               Minutes of the Monetary Policy Committee Meeting April 2-4, 2019"
"29124","Minutes of the Monetary Policy Committee Meeting April 2-4, 2019","                  [Under Section 45ZL of the Reserve Bank of India Act, 1934]"
"29125","Minutes of the Monetary Policy Committee Meeting April 2-4, 2019",""
"29126","Minutes of the Monetary Policy Committee Meeting April 2-4, 2019","        The sixteenth meeting of the Monetary Policy Committee (MPC), constituted under"
"29127","Minutes of the Monetary Policy Committee Meeting April 2-4, 2019","section 45ZB of the Reserve Bank of India Act, 1934, was held from April 2 to 4, 2019 at the"
"29128","Minutes of the Monetary Policy Committee Meeting April 2-4, 2019","Reserve Bank of India, Mumbai."
"29129","Minutes of the Monetary Policy Committee Meeting April 2-4, 2019","2.      The meeting was attended by all the members – Dr. Chetan Ghate, Professor, Indian"
"29130","Minutes of the Monetary Policy Committee Meeting April 2-4, 2019","Statistical Institute; Dr. Pami Dua, Director, Delhi School of Economics; Dr. Ravindra H."
"29131","Minutes of the Monetary Policy Committee Meeting April 2-4, 2019","Dholakia, former Professor, Indian Institute of Management, Ahmedabad; Dr. Michael"
"29132","Minutes of the Monetary Policy Committee Meeting April 2-4, 2019","Debabrata Patra, Executive Director (the officer of the Reserve Bank nominated by the"
"29133","Minutes of the Monetary Policy Committee Meeting April 2-4, 2019","Central Board under Section 45ZB(2)(c) of the Reserve Bank of India Act, 1934); Dr. Viral"
"29134","Minutes of the Monetary Policy Committee Meeting April 2-4, 2019","V. Acharya, Deputy Governor in charge of monetary policy – and was chaired by Shri"
"29135","Minutes of the Monetary Policy Committee Meeting April 2-4, 2019","Shaktikanta Das, Governor."
"29136","Minutes of the Monetary Policy Committee Meeting April 2-4, 2019","3.      According to Section 45ZL of the Reserve Bank of India Act, 1934, the Reserve Bank"
